=== CONFIRMED (147) ===
EOG | consolidation | 153.05 | 149.21 | 158.81 | Medium | 83.4 | Undervalued | CONFIRMED
REL.L | consolidation | 2607.4399 | 2532.0041 | 2720.5936 | Medium | 36.9 | Overvalued | CAUTION
UU.L | consolidation | 1425.0 | 1400.3321 | 1462.0018 | Medium | 34.9 | Overvalued | CAUTION

=== NO FUND DATA (37) ===
GS | breakout | 1039.28 | 1014.5671 | 1076.3493 | High | -- | -- |
HCA | breakout | 429.19 | 417.575 | 446.6125 | High | -- | -- |
HOOD | breakout | 108.13 | 102.8544 | 116.0434 | High | -- | -- |
RJF | pullback | 175.2 | 171.6879 | 180.4681 | High | -- | -- |
YUM | breakout | 152.99 | 148.8343 | 159.2235 | High | -- | -- |
ABBV | consolidation | 264.96 | 259.4007 | 273.2989 | Medium | -- | -- |
BAMI.MI | pullback | 16.705 | 16.4082 | 17.1502 | Medium | -- | -- |
BARC.L | pullback | 492.5 | 484.115 | 505.0775 | Medium | -- | -- |
BPE.MI | pullback | 13.98 | 13.7536 | 14.3196 | Medium | -- | -- |
C | pullback | 131.65 | 128.6343 | 136.1736 | Medium | -- | -- |
CAH | pullback | 229.51 | 222.6757 | 239.7614 | Medium | -- | -- |
CBK.DE | pullback | 38.95 | 38.2864 | 39.9454 | Medium | -- | -- |
CCI | consolidation | 75.51 | 73.195 | 78.9825 | Medium | -- | -- |
CFG | pullback | 69.86 | 68.402 | 72.047 | Medium | -- | -- |
DBK.DE | pullback | 32.3175 | 31.7964 | 33.0992 | Medium | -- | -- |
EDEN.PA | consolidation | 29.3 | 28.6761 | 30.2358 | Medium | -- | -- |
FBK.MI | pullback | 23.59 | 23.1786 | 24.2071 | Medium | -- | -- |
GLE.PA | pullback | 76.01 | 74.665 | 78.0275 | Medium | -- | -- |
HBAN | pullback | 17.03 | 16.6864 | 17.5454 | Medium | -- | -- |
IBKR | consolidation | 93.87 | 91.05 | 98.1 | Medium | -- | -- |
IHG.L | consolidation | 160.2 | 156.3662 | 165.9507 | Medium | -- | -- |
INVP.L | pullback | 634.5 | 622.1201 | 653.0699 | Medium | -- | -- |
IRM | pullback | 122.02 | 117.7743 | 128.3886 | Medium | -- | -- |
IT | consolidation | 195.9 | 184.4286 | 213.1071 | Medium | -- | -- |
JKHY | consolidation | 166.2 | 160.9457 | 174.0814 | Medium | -- | -- |
LOW | pullback | 216.09 | 210.3629 | 224.6807 | Medium | -- | -- |
MB.MI | pullback | 27.79 | 27.355 | 28.4425 | Medium | -- | -- |
NTRS | pullback | 183.9 | 180.1429 | 189.5357 | Medium | -- | -- |
OTIS | pullback | 71.49 | 70.0231 | 73.6903 | Medium | -- | -- |
PAYX | consolidation | 124.48 | 121.2436 | 129.3346 | Medium | -- | -- |
PCT.L | pullback | 633.798 | 618.3372 | 656.9892 | Medium | -- | -- |
SMT.L | consolidation | 1458.0 | 1429.7248 | 1500.4128 | Medium | -- | -- |
SOFI | consolidation | 18.91 | 18.1732 | 20.0152 | Medium | -- | -- |
STAN.L | pullback | 2158.0 | 2111.9546 | 2227.0681 | Medium | -- | -- |
SYF | neutral | 79.47 | 77.6684 | 82.1724 | Medium | -- | -- |
VRSK | consolidation | 187.5 | 180.7 | 197.7 | Medium | -- | -- |
WFC | pullback | 83.84 | 82.1383 | 86.3925 | Medium | -- | -- |
